['1S', '6S', '9D']
['1S', '6S', '10D']
['1S', '6S', 'JD']
['1S', '6S', 'QD']
['1S', '6S', 'KD']
['1S', '6S', 'AD']
['1S', '6S', '1H']
['1S', '6S', '2H']
['1S', '6S', '3H']
['1S', '6S', '4H']
['1S', '6S', '5H']
['1S', '6S', '6H']
['1S', '6S', '7H']
['1S', '6S', '8H']
['1S', '6S', '9H']
['1S', '6S', '10H']
['1S', '6S', 'JH']
['1S', '6S', 'QH']
['1S', '6S', 'KH']
['1S', '6S', 'AH']
['1S', '7S', '8S']
['1S', '7S', '9S']
['1S', '7S', '10S']
['1S', '7S', 'JS']
['1S', '7S', 'QS']
['1S', '7S', 'KS']
['1S', '7S', 'AS']
['1S', '7S', '1C']
['1S', '7S', '2C']
['1S', '7S', '3C']
['1S', '7S', '4C']
['1S', '7S', '5C']
['1S', '7S', '6C']
['1S', '7S', '7C']
['1S', '7S', '8C']
['1S', '7S', '9C']
['1S', '7S', '10C']
['1S', '7S', 'JC']
['1S', '7S', 'QC']
['1S', '7S', 'KC']
['1S', '7S', 'AC']
['1S', '7S', '1D']
['1S', '7S', '2D']
['1S', '7S', '3D']
['1S', '7S', '4D']
['1S', '7S', '5D']
['1S', '7S', '6D']
['1S', '7S', '7D']
['1S', '7S', '8D']
['1S', '7S', '9D']
['1S', '7S', '10D']
['1S', '7S', 'JD']
['1S', '7S', 'QD']
['1S', '7S', 'KD']
['1S', '7S', 'AD']
['1S', '7S', '1H']
['1S', '7S', '2H']
['1S', '7S', '3H']
['1S', '7S', '4H']
['1S', '7S', '5H']
['1S', '7S', '6H']
['1S', '7S', '7H']
['1S', '7S', '8H']
['1S', '7S', '9H']
['1S', '7S', '10H']
['1S', '7S', 'JH']
['1S', '7S', 'QH']
['1S', '7S', 'KH']
['1S', '7S', 'AH']
['1S', '8S', '9S']
['1S', '8S', '10S']
['1S', '8S', 'JS']
['1S', '8S', 'QS']
['1S', '8S', 'KS']
['1S', '8S', 'AS']
['1S', '8S', '1C']
['1S', '8S', '2C']
['1S', '8S', '3C']
['1S', '8S', '4C']
['1S', '8S', '5C']
['1S', '8S', '6C']
['1S', '8S', '7C']
['1S', '8S', '8C']
['1S', '8S', '9C']
['1S', '8S', '10C']
['1S', '8S', 'JC']
['1S', '8S', 'QC']
['1S', '8S', 'KC']
['1S', '8S', 'AC']
['1S', '8S', '1D']
['1S', '8S', '2D']
['1S', '8S', '3D']
['1S', '8S', '4D']
['1S', '8S', '5D']
['1S', '8S', '6D']
['1S', '8S', '7D']
['1S', '8S', '8D']
['1S', '8S', '9D']
['1S', '8S', '10D']
['1S', '8S', 'JD']
['1S', '8S', 'QD']
['1S', '8S', 'KD']
['1S', '8S', 'AD']
['1S', '8S', '1H']
['1S', '8S', '2H']
['1S', '8S', '3H']
['1S', '8S', '4H']
['1S', '8S', '5H']
['1S', '8S', '6H']
['1S', '8S', '7H']
['1S', '8S', '8H']
['1S', '8S', '9H']
['1S', '8S', '10H']
['1S', '8S', 'JH']
['1S', '8S', 'QH']
['1S', '8S', 'KH']
['1S', '8S', 'AH']
['1S', '9S', '10S']
['1S', '9S', 'JS']
['1S', '9S', 'QS']
['1S', '9S', 'KS']
['1S', '9S', 'AS']
['1S', '9S', '1C']
['1S', '9S', '2C']
['1S', '9S', '3C']
['1S', '9S', '4C']
['1S', '9S', '5C']
['1S', '9S', '6C']
['1S', '9S', '7C']
['1S', '9S', '8C']
['1S', '9S', '9C']
['1S', '9S', '10C']
['1S', '9S', 'JC']
['1S', '9S', 'QC']
['1S', '9S', 'KC']
['1S', '9S', 'AC']
['1S', '9S', '1D']
['1S', '9S', '2D']
['1S', '9S', '3D']
['1S', '9S', '4D']
['1S', '9S', '5D']
['1S', '9S', '6D']
['1S', '9S', '7D']
['1S', '9S', '8D']
['1S', '9S', '9D']
['1S', '9S', '10D']
['1S', '9S', 'JD']
['1S', '9S', 'QD']
['1S', '9S', 'KD']
['1S', '9S', 'AD']
['1S', '9S', '1H']
['1S', '9S', '2H']
['1S', '9S', '3H']
['1S', '9S', '4H']
['1S', '9S', '5H']
['1S', '9S', '6H']
['1S', '9S', '7H']
['1S', '9S', '8H']
['1S', '9S', '9H']
['1S', '9S', '10H']
['1S', '9S', 'JH']
['1S', '9S', 'QH']
['1S', '9S', 'KH']
['1S', '9S', 'AH']
['1S', '10S', 'JS']
['1S', '10S', 'QS']
['1S', '10S', 'KS']
['1S', '10S', 'AS']
['1S', '10S', '1C']
['1S', '10S', '2C']
['1S', '10S', '3C']
['1S', '10S', '4C']
['1S', '10S', '5C']
['1S', '10S', '6C']
['1S', '10S', '7C']
['1S', '10S', '8C']
['1S', '10S', '9C']
['1S', '10S', '10C']
['1S', '10S', 'JC']
['1S', '10S', 'QC']
['1S', '10S', 'KC']
['1S', '10S', 'AC']
['1S', '10S', '1D']
['1S', '10S', '2D']
['1S', '10S', '3D']
['1S', '10S', '4D']
['1S', '10S', '5D']
['1S', '10S', '6D']
['1S', '10S', '7D']
['1S', '10S', '8D']
['1S', '10S', '9D']
['1S', '10S', '10D']
['1S', '10S', 'JD']
['1S', '10S', 'QD']
['1S', '10S', 'KD']
['1S', '10S', 'AD']
['1S', '10S', '1H']
['1S', '10S', '2H']
['1S', '10S', '3H']
['1S', '10S', '4H']
